,S1,S2,S3
824,1876,2450,1506
825,2010,3100,1249
826,2231,3696,817
827,2008,3486,701
828,481,490,150
829,261,188,53
830,1822,2714,1738
831,1916,3379,1419
832,3700,3990,801
833,2865,3549,873
834,221,255,186
835,94,80,57
836,1852,1529,1425
837,1544,1766,909
838,2108,2762,707
839,1892,2556,776
840,201,365,185
841,116,108,49
842,1362,2068,1479
843,1625,2420,1195
844,2446,3649,730
845,1786,3111,629
846,199,333,138
847,99,118,60
848,1458,2180,1356
849,1576,2501,1095
850,2365,3182,753
851,1832,2891,696
852,163,365,144
853,124,115,66
854,1297,2204,1734
855,1607,2622,1185
856,2574,3166,808
857,1987,2977,793
858,210,628,148
859,130,159,58
860,1490,2097,1571
861,1564,2505,1249
862,2566,3379,781
863,1920,3106,771
864,353,481,181
865,154,167,60
866,1690,2605,1852
867,1951,2973,1421
868,3123,3728,895
869,2423,3450,852
870,501,519,188
871,226,178,44
872,2066,2668,1769
873,2176,3365,1396
874,3585,3812,841
875,2893,3585,814
876,258,377,222
877,113,92,69
878,2019,1675,1647
879,1703,2079,1018
880,2274,2969,973
881,1982,2659,957
882,215,380,165
883,143,108,62
884,1506,1990,1671
885,1611,2440,1168
886,2477,3516,807
887,1959,3131,695
888,186,455,133
889,113,131,50
890,1414,2041,1613
891,1538,2517,1306
892,2472,3260,797
893,1917,2838,733
894,204,383,130
895,131,115,58
896,1303,2098,1652
897,1646,2624,1332
898,2524,3209,811
899,1813,2843,798
900,228,471,144
901,111,132,62
902,1347,2237,1673
903,1549,2698,1297
904,2488,3315,811
905,1877,3026,815
906,324,619,169
907,184,180,61
908,1840,2666,1986
909,2280,3167,1315
910,3081,3959,860
911,2117,3468,795
912,433,581,176
913,201,186,62
914,1940,2861,1870
915,2147,3355,1418
916,3615,3737,822
917,2586,3394,916
918,299,348,183
919,92,98,62
920,1729,1788,2241
921,1833,1997,1068
922,2347,2800,1002
923,1752,2698,969
924,195,357,120
925,86,102,48
926,1373,1898,1623
927,1594,2349,1221
928,2486,3257,778
929,1737,2916,694
930,243,386,149
931,106,124,59
932,1418,2008,1741
933,1479,2350,1348
934,2465,3434,736
935,1982,3086,741
936,159,320,116
937,82,116,54
938,1422,2140,1565
939,1494,2498,1272
940,2521,3327,690
941,1982,2702,625
942,183,392,135
943,99,114,69
944,1571,2190,1572
945,1768,2788,1377
946,2672,3371,719
947,2060,3070,656
948,225,440,145
949,114,153,62
950,1655,2402,1642
951,1931,3035,1392
952,3059,3984,784
953,2254,3195,699
954,456,460,131
955,185,152,47
956,1993,2701,1561
957,1953,3304,1461
958,3418,3325,785
959,2733,2931,695
960,213,232,163
961,114,104,52
962,1938,1713,1434
963,1491,2005,1090
964,2330,2330,772
965,1907,2217,776
966,218,257,144
967,113,94,60
968,1789,1543,1234
969,1519,1932,978
970,2361,2433,594
971,2039,2208,648
972,243,460,128
973,111,163,49
974,1566,2349,1583
975,1693,2728,1493
976,2944,3445,816
977,2327,3117,807
978,223,423,136
979,82,107,44
980,1609,2123,1195
981,1509,2546,1154
982,2684,3893,664
983,2012,3094,708
984,266,378,156
985,91,117,41
986,1684,2102,1349
987,1552,2432,1213
988,2741,3474,667
989,2146,2960,621
990,311,595,193
991,118,185,53
992,2157,2811,1591
993,2071,3615,1402
994,3546,4330,765
995,2649,3820,699
996,425,451,176
997,203,104,67
998,2768,2781,1902
999,2473,3440,1630
1000,3936,3389,770
1001,3027,3209,685
1002,171,219,178
1003,89,57,36
1004,1501,1526,1013
1005,1357,1748,913
1006,2011,2555,759
1007,1613,2110,728
1008,126,327,129
1009,89,117,44
1010,1394,2055,1360
1011,1382,2370,1255
1012,2258,3251,693
1013,1717,2682,662
1014,194,343,152
1015,81,107,63
1016,1671,2227,1452
1017,1720,2512,1216
1018,2514,3004,635
1019,2020,2910,571
1020,192,348,162
1021,104,97,51
1022,1558,2232,1575
1023,1630,2520,1311
1024,2614,3480,740
1025,1963,2996,641
1026,167,334,149
1027,78,111,60
1028,1593,2290,1572
1029,1647,2583,1401
1030,2635,3168,701
1031,2033,2815,638
1032,212,531,177
1033,144,111,72
1034,1805,2625,1703
1035,1806,2895,1548
1036,2819,3786,838
1037,2304,3214,728
1038,306,444,136
1039,160,113,58
1040,2079,2835,1708
1041,1913,3266,1488
1042,3537,3405,738
1043,2718,3162,688
1044,184,356,211
1045,83,77,62
1046,1977,1738,1618
1047,1531,2017,1148
1048,2176,2963,862
1049,1894,2634,934
1050,148,314,144
1051,81,83,58
1052,1534,2046,1373
1053,1510,2337,1237
1054,2442,3076,686
1055,1865,2723,629
1056,196,326,144
1057,118,91,61
1058,1534,2089,1400
1059,1574,2435,1341
1060,2524,3157,764
1061,1877,2706,700
1062,193,346,156
1063,106,104,53
1064,1647,2258,1487
1065,1665,2475,1372
1066,2597,3069,735
1067,2085,2748,671
1068,178,378,158
1069,106,85,59
1070,1447,2068,1396
1071,1525,2337,1293
1072,2490,3342,642
1073,1852,2721,695
1074,191,463,165
1075,114,136,75
1076,1733,2602,1694
1077,1735,3074,1505
1078,2984,3548,767
1079,2331,3076,722
1080,393,542,160
1081,178,138,60
1082,2080,2952,1746
1083,2137,3332,1521
1084,3619,3620,831
1085,2723,3287,738
1086,281,326,193
1087,93,90,38
1088,1675,1779,1785
1089,1501,2135,1123
1090,2283,2600,912
1091,2009,2479,906
1092,180,299,163
1093,70,78,59
1094,1477,2122,1650
1095,1576,2314,1203
1096,2406,3231,686
1097,1829,2836,578
1098,154,320,152
1099,86,87,57
1100,1545,2131,2194
1101,1514,2493,1246
1102,2524,3090,718
1103,1881,2669,748
1104,165,373,191
1105,63,88,62
1106,1620,2296,1985
1107,1571,2608,1333
1108,2461,3173,746
1109,2065,2656,648
1110,185,400,219
1111,118,93,67
1112,1537,2247,1882
1113,1573,2573,1386
1114,2692,3407,772
1115,2042,2831,659
1116,262,500,202
1117,109,118,49
1118,1870,2626,2223
1119,1953,2984,1522
1120,3082,3491,825
1121,2363,3334,639
1122,313,518,202
1123,147,114,51
1124,2299,2877,1584
1125,2236,3344,1216
1126,3609,3507,704
1127,2802,3579,645
1128,246,328,231
1129,123,56,46
1130,1852,1827,1500
1131,1549,1943,901
1132,2210,2331,732
1133,1930,2480,888
1134,133,273,167
1135,90,74,65
1136,1467,2017,1969
1137,1586,2501,1261
1138,2484,2527,689
1139,1803,2601,685
1140,165,263,146
1141,76,78,50
1142,1321,1952,2316
1143,1440,2320,1134
1144,2210,2614,645
1145,1673,2569,682
1146,149,329,144
1147,57,76,45
1148,1397,2011,1175
1149,1469,2323,1008
1150,2321,2875,578
1151,1949,2568,550
1152,169,328,159
1153,93,112,56
1154,1635,2232,1457
1155,1662,2539,1230
1156,2587,2921,672
1157,1964,2764,658
1158,171,340,178
1159,88,91,52
1160,1833,2364,1558
1161,1820,2779,1309
1162,2899,3447,605
1163,2214,3050,560
1164,312,536,193
1165,137,169,51
1166,2375,2920,1744
1167,2269,3302,1395
1168,3608,3757,691
1169,2765,3581,707
1170,210,307,210
1171,78,49,40
1172,1943,1794,1570
1173,1654,2068,1064
1174,2271,2862,763
1175,1846,2426,809
1176,145,18,153
1177,90,1,34
1178,1562,103,1538
1179,1530,79,1308
1180,2443,108,763
1181,1910,100,678
1182,154,266,180
1183,68,65,47
1184,1548,1916,1200
1185,1452,2273,1159
1186,2404,2770,608
1187,1760,2438,603
1188,153,0,174
1189,95,0,56
1190,1759,0,1440
1191,1630,0,1322
1192,2691,0,694
1193,2098,0,645
1194,234,0,169
1195,100,0,59
1196,1827,0,1373
1197,1785,0,1306
1198,2678,0,672
1199,2074,0,616
1200,292,0,189
1201,122,0,64
1202,2243,0,1838
1203,2081,0,1582
1204,3114,0,795
1205,2435,0,699
1206,370,0,197
1207,121,0,50
1208,2597,0,1802
1209,2293,0,1483
1210,3564,0,746
1211,2819,0,703
1212,295,0,211
1213,100,0,46
1214,2507,0,1495
1215,1824,0,1034
1216,2498,0,827
1217,2227,0,866
1218,140,0,184
1219,76,0,60
1220,1779,0,1294
1221,1747,0,1251
1222,2621,0,634
1223,1931,0,542
1224,60,0,86
1225,30,0,21
1226,720,0,804
1227,698,0,718
1228,1432,0,287
1229,1064,0,268
1230,100,0,135
1231,56,0,49
1232,1116,0,1468
1233,1132,0,1017
1234,2182,0,463
1235,1678,0,426
1236,209,0,207
1237,108,0,51
1238,1571,0,1330
1239,1597,0,1372
1240,2914,0,694
1241,2187,0,689
1242,243,0,181
1243,135,0,54
1244,2442,0,1645
1245,2128,0,1436
1246,3285,0,758
1247,2663,0,673
1248,468,0,216
1249,173,0,43
1250,2800,0,1972
1251,2570,0,1483
1252,4273,0,716
1253,3039,0,673
1254,339,0,299
1255,91,0,38
1256,2415,0,2033
1257,1888,0,1182
1258,2839,0,696
1259,2335,0,735
1260,196,0,190
1261,109,0,58
1262,1914,0,1419
1263,1813,0,1313
1264,2916,0,647
1265,2250,0,617
1266,229,0,200
1267,125,0,48
1268,2031,0,1474
1269,1951,0,1399
1270,3225,0,692
1271,2523,0,639
1272,241,0,230
1273,141,0,46
1274,1993,0,1529
1275,1875,0,1475
1276,3473,0,884
1277,2644,0,705
1278,250,0,316
1279,133,0,63
1280,1861,0,1586
1281,1960,0,1493
1282,3476,0,767
1283,2744,0,739
1284,310,0,234
1285,143,0,54
1286,2156,0,1736
1287,2193,0,1657
1288,3886,0,931
1289,3023,0,899
1290,656,0,241
1291,265,0,77
1292,3472,0,2032
1293,3244,0,1870
1294,4963,0,992
1295,3891,0,936
1296,372,0,255
1297,163,0,53
1298,2534,0,1736
1299,2123,0,1367
1300,3506,0,976
1301,2881,0,980
1302,286,0,171
1303,143,0,40
1304,1785,0,1664
1305,1934,0,1567
1306,3786,0,835
1307,2909,0,818
1308,331,0,177
1309,172,0,50
1310,1960,0,1742
1311,2071,0,1661
1312,3995,0,892
1313,2915,0,901
1314,265,0,128
1315,114,0,34
1316,1622,0,1328
1317,1715,0,1301
1318,3794,0,690
1319,2758,0,555
1320,540,0,220
1321,227,0,62
1322,2712,0,2269
1323,2748,0,2071
1324,5741,0,863
1325,4155,0,848
1326,233,0,112
1327,132,0,30
1328,1678,0,1129
1329,1692,0,1043
1330,3972,0,601
1331,2808,0,494
1332,3,0,35
1333,0,0,7
1334,51,0,541
1335,39,0,103
1336,67,0,58
1337,56,0,63
1338,55,0,177
1339,38,0,32
1340,1018,0,1126
1341,763,0,900
1342,1360,0,511
1343,967,0,527
1344,130,0,167
1345,68,0,34
1346,1406,0,1073
1347,1078,0,899
1348,2028,0,618
1349,1789,0,545
1350,198,0,185
1351,112,0,39
1352,1790,0,1483
1353,1456,0,1079
1354,2807,0,726
1355,2380,0,674
1356,221,0,211
1357,107,0,41
1358,1630,0,1453
1359,1475,0,1130
1360,2781,0,677
1361,2207,0,632
1362,131,0,162
1363,69,0,27
1364,1109,0,1125
1365,1012,0,902
1366,2471,0,524
1367,1729,0,583
1368,293,0,166
1369,121,0,50
1370,1535,0,1499
1371,1519,0,1239
1372,2962,0,798
1373,2195,0,757
1374,99,0,140
1375,52,0,45
1376,1045,0,1057
1377,804,0,873
1378,1401,0,683
1379,1199,0,616
1380,213,0,163
1381,60,0,44
1382,1603,0,1330
1383,1158,0,985
1384,1877,0,730
1385,1678,0,795
1386,180,0,149
1387,86,0,27
1388,1560,0,1098
1389,1334,0,755
1390,2410,0,627
1391,1904,0,592
1392,198,0,163
1393,104,0,42
1394,1713,0,1569
1395,1616,0,1404
1396,2779,0,767
1397,2218,0,703
1398,206,0,183
1399,109,0,56
1400,1570,0,1603
1401,1476,0,1310
1402,2598,0,743
1403,2088,0,693
1404,112,0,110
1405,46,0,36
1406,1105,0,1242
