,UTC Datetime,Local Datetime,countlineId,countlineName,Sensor Number,direction,Pedestrian
386,2021-06-07 00:00:00.000,2021-06-07 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,1216
387,2021-06-07 00:00:00.000,2021-06-07 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,1884
388,2021-06-07 00:00:00.000,2021-06-07 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,3208
389,2021-06-07 00:00:00.000,2021-06-07 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,2795
402,2021-06-08 00:00:00.000,2021-06-08 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,in,451
403,2021-06-08 00:00:00.000,2021-06-08 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,out,153
404,2021-06-08 00:00:00.000,2021-06-08 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,2163
405,2021-06-08 00:00:00.000,2021-06-08 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,3045
406,2021-06-08 00:00:00.000,2021-06-08 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,3754
407,2021-06-08 00:00:00.000,2021-06-08 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,3264
420,2021-06-09 00:00:00.000,2021-06-09 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,in,411
421,2021-06-09 00:00:00.000,2021-06-09 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,out,145
422,2021-06-09 00:00:00.000,2021-06-09 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,2003
423,2021-06-09 00:00:00.000,2021-06-09 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,3004
424,2021-06-09 00:00:00.000,2021-06-09 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,3200
425,2021-06-09 00:00:00.000,2021-06-09 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,2943
438,2021-06-10 00:00:00.000,2021-06-10 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,in,473
439,2021-06-10 00:00:00.000,2021-06-10 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,out,123
440,2021-06-10 00:00:00.000,2021-06-10 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,2140
