,index,UTC Datetime,Local Datetime,countlineId,countlineName,Sensor Number,direction,Pedestrian
76,232,05/29/2021,05/29/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,1238
77,233,05/29/2021,05/29/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,1094
78,246,05/30/2021,05/30/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,in,342
79,247,05/30/2021,05/30/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,out,85
80,248,05/30/2021,05/30/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,2638
81,249,05/30/2021,05/30/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1520
82,250,05/30/2021,05/30/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,1208
83,251,05/30/2021,05/30/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,1174
84,264,05/31/2021,05/31/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,in,227
85,265,05/31/2021,05/31/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,out,64
86,266,05/31/2021,05/31/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,2795
87,267,05/31/2021,05/31/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1671
88,268,05/31/2021,05/31/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,1086
89,269,05/31/2021,05/31/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,1074
90,282,06/01/2021,06/01/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,in,224
91,283,06/01/2021,06/01/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,out,66
92,284,06/01/2021,06/01/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,2499
93,285,06/01/2021,06/01/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1670
94,286,06/01/2021,06/01/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,1221
95,287,06/01/2021,06/01/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,1072
96,300,06/02/2021,06/02/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,in,142
97,301,06/02/2021,06/02/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,out,47
98,302,06/02/2021,06/02/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1819
99,303,06/02/2021,06/02/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1367
100,304,06/02/2021,06/02/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,901
101,305,06/02/2021,06/02/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,910
102,318,06/03/2021,06/03/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,in,199
103,319,06/03/2021,06/03/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,out,69
104,320,06/03/2021,06/03/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1768
105,321,06/03/2021,06/03/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1854
106,322,06/03/2021,06/03/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,1070
107,323,06/03/2021,06/03/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,928
108,336,06/04/2021,06/04/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,in,197
109,337,06/04/2021,06/04/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,out,52
110,338,06/04/2021,06/04/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1586
111,339,06/04/2021,06/04/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1597
112,340,06/04/2021,06/04/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,1058
113,341,06/04/2021,06/04/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,1053
114,354,06/05/2021,06/05/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,in,166
115,355,06/05/2021,06/05/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,out,50
116,356,06/05/2021,06/05/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1719
117,357,06/05/2021,06/05/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1524
118,358,06/05/2021,06/05/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,984
119,359,06/05/2021,06/05/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,946
120,372,06/06/2021,06/06/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,in,209
121,373,06/06/2021,06/06/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,out,55
122,374,06/06/2021,06/06/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1320
123,375,06/06/2021,06/06/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1105
124,376,06/06/2021,06/06/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,1049
125,377,06/06/2021,06/06/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,1243
126,390,06/07/2021,06/07/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,in,217
127,391,06/07/2021,06/07/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,out,78
128,392,06/07/2021,06/07/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1201
129,393,06/07/2021,06/07/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1022
130,394,06/07/2021,06/07/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,1079
131,395,06/07/2021,06/07/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,1024
132,408,06/08/2021,06/08/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,in,180
133,409,06/08/2021,06/08/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,out,46
134,410,06/08/2021,06/08/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1660
135,411,06/08/2021,06/08/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1544
136,412,06/08/2021,06/08/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,976
137,413,06/08/2021,06/08/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,1006
138,426,06/09/2021,06/09/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,in,154
139,427,06/09/2021,06/09/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,out,55
140,428,06/09/2021,06/09/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1626
141,429,06/09/2021,06/09/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1460
142,430,06/09/2021,06/09/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,957
