,year,month,day,real data,data with prediction for 2023
178,2021,11,11,1821.8333333333333,1821.8333333333333
179,2021,11,12,2149.8333333333335,2149.8333333333335
180,2021,11,13,2311.8333333333335,2311.8333333333335
181,2021,11,14,1568.1666666666667,1568.1666666666667
182,2021,11,15,1813.3333333333333,1813.3333333333333
183,2021,11,16,1798.3333333333333,1798.3333333333333
184,2021,11,17,1865.6666666666667,1865.6666666666667
185,2021,11,18,1925.1666666666667,1925.1666666666667
186,2021,11,19,2175.5,2175.5
187,2021,11,20,2323.1666666666665,2323.1666666666665
188,2021,11,21,1494.1666666666667,1494.1666666666667
189,2021,11,22,1665.5,1665.5
190,2021,11,23,1632.6666666666667,1632.6666666666667
191,2021,11,24,1697.0,1697.0
192,2021,11,25,1816.0,1816.0
193,2021,11,26,2011.8333333333333,2011.8333333333333
194,2021,11,27,2377.5,2377.5
195,2021,11,28,1584.3333333333333,1584.3333333333333
196,2021,11,29,68.16666666666667,68.16666666666667
197,2021,11,30,1621.3333333333333,1621.3333333333333
198,2021,12,1,1761.5502976493187,1761.5502976493187
199,2021,12,2,1789.8134957067762,1789.8134957067762
200,2021,12,3,2081.888835138334,2081.888835138334
201,2021,12,4,2275.0721694993344,2275.0721694993344
202,2021,12,5,1915.5291661996102,1915.5291661996102
203,2021,12,6,1716.785057099998,1716.785057099998
204,2021,12,7,988.8415573374654,988.8415573374654
205,2021,12,8,1403.646290411891,1403.646290411891
206,2021,12,9,1784.7880542535866,1784.7880542535866
207,2021,12,10,2136.86793517771,2136.86793517771
208,2021,12,11,2501.859817541081,2501.859817541081
209,2021,12,12,2015.522861026704,2015.522861026704
210,2021,12,13,1863.2580283428927,1863.2580283428927
211,2021,12,14,2002.1107748193006,2002.1107748193006
212,2021,12,15,2071.6582223687374,2071.6582223687374
213,2021,12,16,2086.4573806507274,2086.4573806507274
214,2021,12,17,2305.753221818339,2305.753221818339
215,2021,12,18,3019.9979216322795,3019.9979216322795
216,2021,12,19,2276.9438596174527,2276.9438596174527
217,2021,12,20,2154.468042184034,2154.468042184034
218,2021,12,21,2262.0896261573325,2262.0896261573325
219,2021,12,22,1997.943039445032,1997.943039445032
220,2021,12,23,2981.8313505274955,2981.8313505274955
221,2021,12,24,1987.4202975052435,1987.4202975052435
222,2021,12,25,360.137311862035,360.137311862035
223,2021,12,26,1094.6611686647905,1094.6611686647905
224,2021,12,27,1420.5540997070957,1420.5540997070957
225,2021,12,28,1795.45968234379,1795.45968234379
226,2021,12,29,1747.4107583104958,1747.4107583104958
227,2021,12,30,1422.6963470158378,1422.6963470158378
228,2021,12,31,1802.1730000460163,1802.1730000460163
229,2022,1,1,1160.593653870343,1160.593653870343
230,2022,1,2,1484.2421275577399,1484.2421275577399
231,2022,1,3,1550.5785893797067,1550.5785893797067
232,2022,1,4,1812.5829287832653,1812.5829287832653
233,2022,1,5,1727.0203057362112,1727.0203057362112
234,2022,1,6,1314.4882108832173,1314.4882108832173
235,2022,1,7,1524.7257640374896,1524.7257640374896
