,UTC Datetime,Local Datetime,countlineId,countlineName,Sensor Number,direction,Pedestrian
377,2021-06-06 00:00:00.000,2021-06-06 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,1243
390,2021-06-07 00:00:00.000,2021-06-07 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,in,217
391,2021-06-07 00:00:00.000,2021-06-07 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,out,78
392,2021-06-07 00:00:00.000,2021-06-07 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1201
393,2021-06-07 00:00:00.000,2021-06-07 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1022
394,2021-06-07 00:00:00.000,2021-06-07 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,1079
395,2021-06-07 00:00:00.000,2021-06-07 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,1024
408,2021-06-08 00:00:00.000,2021-06-08 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,in,180
409,2021-06-08 00:00:00.000,2021-06-08 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,out,46
410,2021-06-08 00:00:00.000,2021-06-08 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1660
411,2021-06-08 00:00:00.000,2021-06-08 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1544
412,2021-06-08 00:00:00.000,2021-06-08 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,976
413,2021-06-08 00:00:00.000,2021-06-08 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,1006
426,2021-06-09 00:00:00.000,2021-06-09 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,in,154
427,2021-06-09 00:00:00.000,2021-06-09 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,out,55
428,2021-06-09 00:00:00.000,2021-06-09 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1626
429,2021-06-09 00:00:00.000,2021-06-09 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1460
430,2021-06-09 00:00:00.000,2021-06-09 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,957
431,2021-06-09 00:00:00.000,2021-06-09 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,959
444,2021-06-10 00:00:00.000,2021-06-10 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,in,273
445,2021-06-10 00:00:00.000,2021-06-10 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,out,60
446,2021-06-10 00:00:00.000,2021-06-10 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1686
447,2021-06-10 00:00:00.000,2021-06-10 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1614
448,2021-06-10 00:00:00.000,2021-06-10 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,1052
449,2021-06-10 00:00:00.000,2021-06-10 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,1065
462,2021-06-11 00:00:00.000,2021-06-11 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,in,162
463,2021-06-11 00:00:00.000,2021-06-11 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,out,58
464,2021-06-11 00:00:00.000,2021-06-11 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1680
465,2021-06-11 00:00:00.000,2021-06-11 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1612
466,2021-06-11 00:00:00.000,2021-06-11 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,1046
467,2021-06-11 00:00:00.000,2021-06-11 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,989
