,Unnamed: 0,index,UTC Datetime,Local Datetime,countlineId,countlineName,Sensor Number,direction,Pedestrian
128,128,386,06/07/2021,06/07/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,2035.997631024444
129,129,387,06/07/2021,06/07/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,1997.9828207437097
130,130,388,06/07/2021,06/07/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,2452.4234051007033
131,131,389,06/07/2021,06/07/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,2120.243622293304
132,132,402,06/08/2021,06/08/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,in,354.7880765059207
133,133,403,06/08/2021,06/08/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,out,161.44852074555288
134,134,404,06/08/2021,06/08/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,2791.9080538754324
135,135,405,06/08/2021,06/08/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,2736.030871809678
136,136,406,06/08/2021,06/08/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,2802.3047351341997
137,137,407,06/08/2021,06/08/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,2390.6317559338895
138,138,420,06/09/2021,06/09/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,in,328.0221971125824
139,139,421,06/09/2021,06/09/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,out,161.05833156050286
140,140,422,06/09/2021,06/09/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,2592.475415795002
141,141,423,06/09/2021,06/09/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,2592.9473285460713
142,142,424,06/09/2021,06/09/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,2747.1130243737084
